ROUTEID,ROUTENAME,ROADTYPE,SUBBLOCKKEY,BIKELANE_PARKINGLANE_ADJACENT,BIKELANE_THROUGHLANE_ADJACENT,BIKELANE_POCKETLANE_ADJACENT,BIKELANE_CONTRAFLOW,BIKELANE_CONVENTIONAL,BIKELANE_DUAL_PROTECTED,BIKELANE_DUAL_BUFFERED,BIKELANE_PROTECTED,BIKELANE_BUFFERED,SUBBLOCKID,BLOCKID,BLOCKKEY,QUADRANT,STREETNAME,STREETTYPE,TOTALBIKELANES,TOTALBIKELANEWIDTH,WARD_ID,SMD_ID,ANC_ID,OBJECTID,SHAPELEN
12001802,18TH ST NE,1,2a9175354317a2c89bc49bd88426059a,OB,OB,,,OB,,,,,12001802-12001802_58010802*1-12001802_12021972,12001802-12001802_12018722-12001802_12021972,f1f45411a7c407035065679e0bb5d8b2,2,18TH,ST,1,5,5,5C02,5C,7994990,0
12001802,18TH ST NE,1,53e58ae01c051e2adb01346ecda4eb3e,IB,IB,,,IB,,,,,12001802-12001802_47033092-12001802_12033932,12001802-12001802_12030222-12001802_12033932,534b884cef8356f663c7f36e42b79d34,2,18TH,ST,1,5,5,5C02,5C,7995025,0
12001802,18TH ST NE,1,23d666d58e0da3eeaa2b9a7445e0c415,IB,BD,,,BD,,,,,12001802-12001802_12009032-12001802_12018722,12001802-12001802_12009032-12001802_12018722,23d666d58e0da3eeaa2b9a7445e0c415,2,18TH,ST,2,10,5,5C02,5C,7995030,0
12001802,18TH ST NE,1,b2c7eebad9fa68566f5a0b7187b1d319,OB,OB,,,OB,,,,,12001802-12001802_12038092-12001802_12040432,12001802-12001802_12038092-12001802_12040432,b2c7eebad9fa68566f5a0b7187b1d319,2,18TH,ST,1,5,5,5C07,5C,7995033,0
12001802,18TH ST NE,1,27b6f6bc1ebba7d1f84ea9e9f6307a9e,OB,OB,,,OB,,,,,12001802-12001802_58010252-12001802_58010252*1,12001802-12001802_12021972-12001802_12030222,21be3f9df1a5008618ca574afd38f87c,2,18TH,ST,1,5,5,5C02,5C,7995034,0
12001802,18TH ST NE,1,edf59e343a869900a2eeae92eff8e3c7,OB,OB,,,OB,,,,,12001802-12001802_12021972-12001802_58010252,12001802-12001802_12021972-12001802_12030222,21be3f9df1a5008618ca574afd38f87c,2,18TH,ST,1,5,5,5C02,5C,7995035,0
12001802,18TH ST NE,1,12a957e59c2ca4cee78cee38a0377dcd,OB,OB,,,OB,,,,,12001802-12001802_12018722-12001802_58010802,12001802-12001802_12018722-12001802_12021972,f1f45411a7c407035065679e0bb5d8b2,2,18TH,ST,1,5,5,5C02,5C,7995037,0
12001802,18TH ST NE,1,3789a8f1695ccd4624e03930a5cbc087,IB,IB,,,IB,,,,,12001802-12001802_12033932-12001802_47021102_47027742,12001802-12001802_12033932-12001802_12038092,d57b9038e705118b64fd1dc63017b289,2,18TH,ST,1,5,5,5C07,5C,7995038,0
12001802,18TH ST NE,1,2daee41ea008bca17b5088b33b4a1d6c,IB,IB,,,IB,,,,,12001802-12001802_47021102_47027742-12001802_12038092,12001802-12001802_12033932-12001802_12038092,d57b9038e705118b64fd1dc63017b289,2,18TH,ST,1,5,5,5C07,5C,7995041,0
12001802,18TH ST NE,1,8f3ec922713e5079e59a07a7223fc00e,OB,OB,,,OB,,,,,12001802-12001802_12040432-12001802_47040882_47062112,12001802-12001802_12040432-12001802_12075462,eaf3a6d80a1506e28d7ba87f434b928f,2,18TH,ST,1,5,5,5C07,5C,7995042,0
12001802,18TH ST NE,1,ad2dabfa3e72fe806c54a16916d8e050,,BD,,,BD,,,,,12001802-12001802_12061552_12090152-12001802_12009032,12001802-12001802_12061552_12090152-12001802_12009032,ad2dabfa3e72fe806c54a16916d8e050,2,18TH,ST,2,11,5,5C02,5C,7995062,0
12001902,19TH ST NE,1,4508116505c148774735872afa5bf802,IB,IB,,,IB,,,,,12001902-12001902_12019822-12001902_47073982,12001902-12001902_12019822-12001902_12026912,e6621d78e638bfaf41017cfeec10638d,2,19TH,ST,1,5,7,7D05,7D,7995067,0
12001902,19TH ST NE,1,65326ac74fef66c84bb677da8651aad9,IB,IB,,,IB,,,,,12001902-12001902_47073982-12001902_47026422,12001902-12001902_12019822-12001902_12026912,e6621d78e638bfaf41017cfeec10638d,2,19TH,ST,1,5,7,7D05,7D,7995068,0
12001902,19TH ST NE,1,7113fe4609f305f3c885b9cc66d9a84f,,OB,,,,,,,,12001902-12001902_47044792-12001902_47028702,12001902-12001902_12025352-12001902_12019822,f3be9b1587412daf006a77631b89eec6,2,19TH,ST,2,10,7,7D08,7D,7995071,0
12001902,19TH ST NE,1,770703036cddfd71cf93a4c522238eb4,IB,IB,,,IB,,,,,12001902-12001902_47011972-12001902_12039002,12001902-12001902_12076962-12001902_12039002,fe0477099eedc42bd30623fd38f8b3c7,2,19TH,ST,1,5,7,7D05,7D,7995073,0
12001902,19TH ST NE,1,5ec839d0e1f726e82e480b5c50e603ef,IB,IB,,,IB,,,,,12001902-12001902_47042392-12001902_12076962,12001902-12001902_12031332-12001902_12076962,2167109df2adae01c713754fc441c5f1,2,19TH,ST,1,5,7,7D05,7D,7995074,0
12001902,19TH ST NE,1,9f8f97beb79df24e98446e6d9bdbcc63,IB,IB,,,IB,,,,,12001902-12001902_12026912-12001902_47015372_47035052,12001902-12001902_12026912-12001902_12031332,273efb39e8f012060d6b04b6ad8fdf3e,2,19TH,ST,1,5,7,7D05,7D,7995107,0
